voyage_id,fixture_display_order,grade_name,display_order
777BD9CE945FC61915B7C16AAD880B1C,1,,0
1B496294F883F48ACF7873804EEEF5B4,1,NHC,0
7C738E152E75A7D9132A6F119B81509D,1,NHC,0
42E22DB0C96670252FAEFA13DF618643,1,VEGOIL,0
155C0407BE8D598F95C75C68A7716887,1,PALM OIL,0
2CC9C10BBE31600C01A10D5F9DF6962F,1,Gasoline,0
D1A70ADE56B5FFB4B772CF47F4B9D9A7,1,NHC,0
E4E91585A686C33A7319C88408C50286,1,CPP,0
D11B716BF55DEC1A636A2F13D399BA23,1,ULSD,0
DAF1D90B6196E97077539EFF48199D0A,1,VEGOIL,0
DAF1D90B6196E97077539EFF48199D0A,1,PFAD,1
DEE37206FC75DCD3197358E46BC0E0DF,1,NHC,0
F34583900D920F74427B1BB0E4CE14B1,1,,0
D513668AD51B770DC068973942A0F48D,1,CPP,0
D8B20CE7C647A15861FE45957F8A8F81,1,VEGOIL,0
28BD8CA7C09B2C20A9134452B42D0DD9,1,CPKO,0
28BD8CA7C09B2C20A9134452B42D0DD9,1,CPO,1
28BD8CA7C09B2C20A9134452B42D0DD9,1,RBDPS,2
AEF3BF120C874A562AB976D858C49347,1,CPP,0
AEF3BF120C874A562AB976D858C49347,2,CPP,0
AEF3BF120C874A562AB976D858C49347,3,CPP,0
9C621ECBF76D08B7F683D39085DD7468,1,CPP,0
C17324CE6A8038EF32E75976F3522071,1,NHC,0
308FFAB4409105C552CB9DBAE2DC3DB8,1,CPP,0
89B8B28C28919B362F3D7096FE031DCC,1,CPP,0
F8E5FA1600AB7A07CA5CA5D11F6CFF3B,1,CPP,0
3ED3004D3F9190BC046C559274DE688D,1,NRD,0
1A3CA89F70461E98E7410097E0126676,1,CPP,0
C6248110CCB7638DD9F3433881B56E4E,1,PALM OIL,0
C409B62B11F55F7078197992436D9C7D,1,CHEM,0
C409B62B11F55F7078197992436D9C7D,2,Benzene,0
8A90ADAFF09E1A835918DAA313A169C5,1,CPP,0
